"(795, -2023, 1229)",11
"(797, -2032, 1236)",12
"(760, -2042, 1283)",11
"(773, -2004, 1232)",10
"(769, -2046, 1278)",10
"(788, -2022, 1235)",9
"(788, -2056, 1269)",10
"(768, -2007, 1240)",10
"(750, -2005, 1256)",9
"(739, -2026, 1288)",10
"(749, -2034, 1286)",13
"(757, -2029, 1273)",10
"(805, -2057, 1253)",7
"(739, -2030, 1292)",7
"(760, -2041, 1282)",12
"(782, -2032, 1251)",11
"(779, -2027, 1249)",11
"(786, -2046, 1261)",13
"(777, -2053, 1277)",9
"(781, -2028, 1248)",10
"(737, -2012, 1276)",7
"(776, -2039, 1264)",10
"(788, -2061, 1274)",10
"(751, -2006, 1256)",10
"(795, -2049, 1255)",9
"(760, -2027, 1268)",12
"(777, -2035, 1259)",10
"(735, -2018, 1284)",10
"(759, -2044, 1286)",9
"(773, -2042, 1270)",11
"(769, -2015, 1247)",10
"(794, -2053, 1260)",8
"(772, -2042, 1271)",9
"(747, -2037, 1291)",9
"(798, -2030, 1233)",9
"(795, -2024, 1230)",11
"(751, -2031, 1281)",10
"(784, -2043, 1260)",8
"(770, -2033, 1264)",7
"(758, -2003, 1246)",8
"(782, -2044, 1263)",10
"(742, -2009, 1268)",10
"(799, -2033, 1235)",8
"(791, -2036, 1246)",9
"(773, -2019, 1247)",9
"(783, -2024, 1242)",11
"(795, -2027, 1233)",9
"(809, -2037, 1229)",11
"(802, -2051, 1250)",12
"(767, -2001, 1235)",9
"(778, -2032, 1255)",10
"(752, -2027, 1276)",11
"(742, -2029, 1288)",10
"(786, -2048, 1263)",11
"(761, -2014, 1254)",7
"(756, -2012, 1257)",9
"(769, -2003, 1235)",8
"(768, -2019, 1252)",9
"(771, -2035, 1265)",10
"(779, -2044, 1266)",9
"(798, -2028, 1231)",10
"(764, -2032, 1269)",9
"(782, -2054, 1273)",9
"(758, -2015, 1258)",7
"(800, -2028, 1229)",11
"(773, -2021, 1249)",8
"(759, -2034, 1276)",9
"(793, -2043, 1251)",10
"(743, -2033, 1291)",10
"(803, -2050, 1248)",11
"(808, -2040, 1233)",6
"(762, -2040, 1279)",10
"(764, -2041, 1278)",12
